GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
broker-core,de.fraunhofer.iais.eis.ids.broker.main,Main,173,0,0,0,38,0,4,0,4,0
broker-core,de.fraunhofer.iais.eis.ids.broker.main,AppConfig,23,180,4,6,7,24,3,4,0,2
